Journal Code,Journal Group code,Journal Family Code,Journal Title,Status,Global Subject Category,Business Unit,ISSN code,ISBN,JPS Code,E-Journal Code,Pub Source,Product Line(E),Product Line(J),Subject Code 1,Subject Code 2,Global Subject Category.1,New Office,Ownership,Owned by,Society,Soc. Acronym,Editor Name
AAB,AAB,,Annals of Applied Biology,Z-To be Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AABB,AABB,AABB,AABB Newsletter,P-Current publication,STMS Other,,,,,,,,,,,,,N-Society Owned,,,,
AAB2,AAB,,Annals of Applied Biology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AAC2,AAC2,AAC2,Aging and Cancer,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AAE,AAE,,Arabian Archaeology and Epigraphy,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
AAE2,AAE,,Arabian Archaeology and Epigraphy (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
AAG,AAG,,Astronomy & Geophysics,S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
AAG2,AAG,,Astronomy & Geophysics (Electronic),S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
AAH,AAH,,Journal of Aquatic Animal Health,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AAH2,AAH,,Journal of Aquatic Animal Health,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AAP,AAP,,Autonomic & Autacoid Pharmacology,C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AAPE,AAPE,AAPE,Annals of Periodontology,C-Ceased,STMS Other,,,,,,,,,,,,,N-Society Owned,,,,
AAP2,AAP,,Autonomic & Autacoid Pharmacology,C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AAP3,AAPE,AAPE,Annals of Periodontology,C-Ceased,STMS Other,,,,,,,,,,,,,N-Society Owned,,,,
AAR,AAR,,Acta Archaeologica,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AAR2,AAR,,Acta Archaeologica (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AAS,AAS,,Acta Anaesthesiologica Scandinavica,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AAS2,AAS,,Acta Anaesthesiologica Scandinavica (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AB,AB,,Aggressive Behavior,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ABAC,ABAC,,Abacus,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ABA3,ABAC,,Abacus (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ABBS,ABBS,,Acta Biochimica et Biophysica Sinica,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ABB3,ABBS,,Acta Biochimica et Biophysica Sinica (Electronic),S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ABC,ABC,,About Campus,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ABC2,ABC,,About Campus (Electronic),S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ABHL,ABHL,HIST,Annual Bulletin of Historical Literature,C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
ABH3,ABHL,HIST,Annual Bulletin of Historical Literature           (Electronic),C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
ABIO,ABIO,,Acta Biotechnologica                              Alpha code for WIS - Info Only - see journal 2226,I-Info Only,STMS Life Sciences,Life Sci,,,,,,,,,,,,-,,,,
ABLJ,ABLJ,ABLJ,American Business Law Journal,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ABL3,ABLJ,ABLJ,American Business Law Journal (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ABN,ABN,PLB,Acta Botanica Neerlandica,M-Merged,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
ABN2,ABN,PLB,Acta Botanica Neerlandica,M-Merged,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AB2,AB,,Aggressive Behavior (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ACA,ACA,,European Surgery,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ACA2,ACA,,European Surgery,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ACC,ACC,,Antiviral Chemistry and Chemotherapy,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ACCF,ACCF,,Accounting Forum,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
ACC3,ACCF,,Accounting Forum,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
ACE,ACE,,New Directions for Adult and Continuing Education,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
ACEL,ACEL,,Aging Cell,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,J-Joint Owned,,,,
ACEM,ACEM,,Academic Emergency Medicine,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ACEN,ACEN,,ACEP Now,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ACER,ACER,,Alcoholism: Clinical & Experimental Research,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ACE2,ACE,,New Directions for Adult and Continuing Education,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
ACE3,ACEM,,Academic Emergency Medicine (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ACE4,ACER,,Alcoholism: Clinical & Experimental Research,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ACE5,ACEL,,Aging Cell (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,J-Joint Owned,,,,
ACE6,ACEN,,ACEP Now (Electronic)                             Advancing Emergency Care,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ACFI,ACFI,,Accounting & Finance,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ACF3,ACFI,,Accounting & Finance (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ACGS,ACGS,,Acta Geologica Sinica (English Edition),O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
ACG2,ACG2,,Advances in Cell and Gene Therapy,P-Current publication,STMS Other,,,,,,,,,,,,,O-Proprietary Owned,,,,
ACG3,ACGS,,Acta Geologica Sinica (English Edition),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
ACH,ACH,CCH,Ambulatory Child Health,M-Merged,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ACH2,ACH,CCH,Ambulatory Child Health,M-Merged,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ACM2,ACM2,,Journal of Applied Clinical Medical Physics,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
ACN,ACN,,Acta Neuropsychiatrica,C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ACN2,ACN,,Acta Neuropsychiatrica (Electronic),C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ACN3,ACN3,,Annals of Clinical and Translational Neurology     (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ACO,ACO,,Acta Orientalia,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ACO2,ACO,,Acta Orientalia,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ACP,ACP,ACP,Applied Cognitive Psychology,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
ACPS,ACPS,ACPS,Acta Psychiatrica Scandinavica,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ACP2,ACP,ACP,Applied Cognitive Psychology                       (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
ACP3,ACPS,ACPS,Acta Psychiatrica Scandinavica (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ACR,ACR,,Arthritis Care and Research,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ACRJ,ACRJ,,Asian Case Research Journal,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ACR2,ACR2,ACR2,ACR Open Rheumatology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ACR3,ACR,,Arthritis Care and Research,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ACS,ACS,,International Journal of Adaptive Control and      Signal Processing,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ACSC,ACSC,,Acta Chemica Scandinavica,C-Ceased,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
ACS2,ACS,,International Journal of Adaptive Control and     Signal Processing (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ACT,ACT,,Applied Computer Translation Vol 1 Pub by Sigma   Press. Ownership Transerred,S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
ACTA,ACTA,,Acta Genetica Ceased Publication in 1983,A-Abandoned,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
ACV,ACV,,Animal Conservation,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
ACV2,ACV,,Animal Conservation (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AD,AD,,Architectural Design,P-Current publication,PD Architecture,,,,,,,,,,,,,O-Proprietary Owned,,,,
ADAW,ADAW,,Alcoholism & Drug Abuse Weekly,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ADA3,ADAW,,Alcoholism & Drug Abuse Weekly,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ADB,ADB,,Addiction Biology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ADBI,ADBI,,Advanced Biosystems - Alpha Code -                Info Only - See Journal E771,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ADBS,ADBS,,Redundant Alpha Code                              - Info Only - See E771,I-Info Only,,,,,,,,,,,,,,O-Proprietary Owned,,,,
ADB2,ADB,,Addiction Biology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ADC2,ADC2,ADC2,Advanced Control for Applications,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ADD,ADD,,Addiction,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ADD2,ADD,,Addiction (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ADEM,ADEM,,Advanced Engineering Materials                    Alpha code for WIS - Info Only - see journal 2266,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
ADFM,ADFM,,Advanced Functional Materials                     Alpha code for WIS - Info Only - see journal 2126,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
ADHM,ADHM,ADHM,Advanced Healthcare Materials                     Alpha Code for 2087 - Info Only,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ADIC,ADIC,,Annali di Chimica                                 Alpha code for WIS - Info Only - see journal 2294,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
ADI2,ADI2,,Archives of Drug Information,C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ADJ,ADJ,,Australian Dental Journal,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ADJ2,ADJ,,Australian Dental Journal (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ADMA,ADMA,,Advanced Materials                                Alpha code for WIS - Info Only - see journal 2089,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
ADMI,ADMI,,Advanced Materials Interfaces                      Alpha code for WIS - Info Only - see E706,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
ADMT,ADMT,,Advanced Materials Technologies                   Alpha Code for WIS - Info Only - See journal E767,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ADOM,ADOM,,Advanced Optical Materials (Info Only see E298),I-Info Only,,,,,,,,,,,,,,-,,,,
ADSC,ADSC,,Advanced Synthesis & Catalysis                    Alpha code for WIS - Info Only - see journal 2258,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
ADSP,ADSP,,Adultspan Journal,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ADSU,ADSU,,Advanced Sustainable Systems                      - Alpha Code - Info only - See E769,I-Info Only,,,,,,,,,,,,,,O-Proprietary Owned,,,,
ADS3,ADSP,,Adultspan Journal (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ADTP,ADTP,,Advanced Therapeutics - Info Only -                See Journal E313,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ADTS,ADTS,,Advanced Theory and Simulations - Info Only -      See journal E343,I-Info Only,,,,,,,,,,,,,,O-Proprietary Owned,,,,
ADV,ADV,,Advances in Polymer Technology,U-Outsourced,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ADVS,ADVS,,Advanced Science                                  Alpha code for WIS - Info Only - see journal E749,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ADV2,ADV,,Advances in Polymer Technology                     (Electronic),U-Outsourced,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AD2,AD,,Architectural Design (Electronic),P-Current publication,PD Architecture,,,,,,,,,,,,,O-Proprietary Owned,,,,
AEC,AEC,,Austral Ecology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AEC2,AEC,,Austral Ecology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AEHE,AEHE,,ASHE Higher Education Report,C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
AEHR,AEHR,,Australian Economic History Review,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
AEH3,AEHE,,ASHE Higher Education Report (Electronic),C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
AEH4,AEHR,,Australian Economic History Review (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
AEJ,AEJ,,Australian Endodontic Journal,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AEJ2,AEJ,,Australian Endodontic Journal (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AELM,AELM,,Advanced Electronic Materials                     Alpha code for WIS - Info Only - see journal E707,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AEL2,AEL2,AEL2,Agricultural & Environmental Letters,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AEM,AEM,,Aquaculture Economics and Management,S-Sold/InterCo Transfr,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AEM2,AEM,,Aquaculture Economics and Management,S-Sold/InterCo Transfr,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AEN,AEN,,Austral Entomology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AENM,AENM,,Advanced Energy Materials                         Alpha code for WIS - Info Only - see journal 2528,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
AEN2,AEN,,Australian Journal of Entomology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AEPA,AEPA,,Australian Economic Papers,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
AEPP,AEPP,AEPP,Applied Economic Perspectives and Policy,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AEPR,AEPR,,Asian Economic Policy Review,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AEP2,AEPP,AEPP,Applied Economic Perspectives and Policy,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AEP3,AEPA,,Australian Economic Papers (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
AEP4,AEPR,,Asian Economic Policy Review (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AEQ,AEQ,,Anthropology & Education Quarterly,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AEQ2,AEQ,,Anthropology & Education Quarterly (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AERE,AERE,,The Australian Economic Review,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AER3,AERE,,The Australian Economic Review,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AES,AES,,Australian Journal of Earth Sciences,S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
AES2,AES,,Australian Journal of Earth Sciences,S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
AET2,AET2,,AEM Education and Training,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AFCO,AFCO,,Africa Confidential,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AFC3,AFCO,,Africa Confidential (Electronic),S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AFDR,AFDR,,African Development Review,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AFD3,AFDR,,African Development Review (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AFE,AFE,,Agricultural and Forest Entomology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AFE2,AFE,,Agricultural and Forest Entomology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AFM,AFM,,Asia Pacific Family Medicine,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AFM2,AFM,,Asia Pacific Family Medicine,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AFS,AFS,,Anzeiger fur Schädlingskunde,S-Sold/InterCo Transfr,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AFS2,AFS,,Anzeiger fur Schädlingskunde,S-Sold/InterCo Transfr,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AGA2,AGA2,AGA2,AGU Advances,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AGC,AGC,,The American Journal of Geriatric Cardiology,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AGC2,AGC,,The American Journal of Geriatric Cardiology,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AGE,AGE,,Animal Genetics,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AGEC,AGEC,,Agricultural Economics,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AGE2,AGE,,Animal Genetics (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AGE3,AGEC,,Agricultural Economics (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AGG2,AGG2,,"Agrosystems, Geosciences & Environment",P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AGJ2,AGJ2,AGJ2,Agronomy Journal,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AGM2,AGM2,,Aging Medicine,P-Current publication,STMS Other,,,,,,,,,,,,,J-Joint Owned,,,,
AGR,AGR,,Agribusiness : an International Journal,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
AGR2,AGR,,Agribusiness : an International Journal            (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
AGS,AGS,,Applied Geographic Studies,C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
AGS3,AGS3,,Annals of Gastroenterological Surgery,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AGU2,AGU2,,AGU All,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AGU3,AGU3,,AGU Backfile,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AGU4,AGU4,,AGU Multi Choice,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AHE,AHE,JVM-ABC,"Anatomia, Histologia, Embryologia -               For printed EMLO copies only",P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AHE2,AHE,JVM-ABC,"Anatomia, Histologia, Embryologia",P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AHG,AHG,,Annals of Human Genetics,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,J-Joint Owned,,,,
AHG2,AHG,,Annals of Human Genetics (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,J-Joint Owned,,,,
AHH,AHH,,American Heart Hospital Journal,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AHH2,AHH,,American Heart Hospital Journal,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AHIS,AHIS,,Art History,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AHI3,AHIS,,Art History (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AHM,AHM,,Advanced Healthcare Materials (Alpha code for WIS  - Info Only - see journal 2087),I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AIC,AIC,,AIChE Journal,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
AIC2,AIC,,AIChE Journal (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
AID2,AID2,AID2,Advances in Digestive Medicine,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AIL2,AIL2,AIL2,Applied AI Letters,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AIN,AIN,,Allergology International,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AIN2,AIN,,Allergology International,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AIR,AIR,,Artificial Intelligence Review,S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AISY,AISY,,Advanced Intelligent Systems                      Advanced Intelligent Systems - Info Only See E501,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
AJAD,AJAD,,The American Journal on Addictions,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJAE,AJAE,AJAE,American Journal of Agricultural Economics,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJAG,AJAG,,Australasian Journal On Ageing,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJAN,AJAN,,Asian Journal of Andrology,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJAR,AJAR,,The Australian Journal of Agricultural             Resource Economics,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJA3,AJAE,AJAE,American Journal of Agricultural Economics        (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
