Journal Code,Journal Group code,Journal Family Code,Journal Title,Status,Global Subject Category,Business Unit,ISSN code,ISBN,JPS Code,E-Journal Code,Pub Source,Product Line(E),Product Line(J),Subject Code 1,Subject Code 2,Global Subject Category.1,New Office,Ownership,Owned by,Society,Soc. Acronym,Editor Name
WEA,WEA,,Weather,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
WEA2,WEA,,Weather (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
WEC,WEC,,Web Ecology,S-Sold/InterCo Transfr,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
WEJ,WEJ,,Water and Environment Journal,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
WEJ2,WEJ,,Water and Environment Journal (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
WENE,WENE,,WIREs Energy and Environment,O-Obsolete media,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WENG,WENG,,World Englishes,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
WEN3,WENG,,World Englishes (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
WEN4,WENE,,WIREs Energy and Environment (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WER,WER,WER,Water Environment Research,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
WER2,WER,WER,Water Environment Research,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
WET,WET,WET,Water Environment & Technology Magazine,A-Abandoned,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
WET2,WET,WET,Water Environment & Technology Magazine,A-Abandoned,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
WE2,WE,,Wind Energy (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WFP2,WFP2,WFP2,World Food Policy,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
WFS2,WFS2,,WIREs Forensic Science (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WHE,WHE,,Women in Higher Education,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
WHE2,WHE,,Women in Higher Education,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
WICS,WICS,,WIREs Computational Statistics,O-Obsolete media,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WIC3,WICS,,WIREs Computational Statistics (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WIDM,WIDM,,WIREs Data Mining and Knowledge Discovery,O-Obsolete media,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WID3,WIDM,,WIREs Data Mining and Knowledge Discovery         (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WILJ,WILJ,WILM,Wilmott Journal,M-Merged,PD Business,,,,,,,,,,,,,O-Proprietary Owned,,,,
WILM,WILM,WILM,Wilmott Magazine,P-Current publication,PD Business,,,,,,,,,,,,,O-Proprietary Owned,,,,
WIL3,WILM,WILM,Wilmott Magazine (Electronic),P-Current publication,PD Business,,,,,,,,,,,,,O-Proprietary Owned,,,,
